rule_id,containment_threshold,iou_threshold,area_ratio_threshold,same_label_required,matches,false_negatives,false_positives,combined_errors,removed_count,safe,safety_reasons,case_66,case_67,case_84,case_97,case_110,case_155,case_166
r076,0.9,none,0.05,False,181,38,24,62,1,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/1,1/0/0
r077,0.9,none,0.08,True,181,38,24,62,1,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/1,1/0/0
r078,0.9,none,0.08,False,181,38,24,62,1,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/1,1/0/0
r079,0.9,none,0.1,True,181,38,23,61,2,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/0,1/0/0
r080,0.9,none,0.1,False,181,38,23,61,2,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/0,1/0/0
r081,0.9,none,0.15,True,181,38,23,61,2,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/0,1/0/0
r082,0.9,none,0.15,False,181,38,23,61,2,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/0,1/0/0
r083,0.9,none,0.2,True,181,38,23,61,2,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/0,1/0/0
r084,0.9,none,0.2,False,181,38,23,61,2,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/0,1/0/0
r085,0.9,0.0,0.03,True,181,38,24,62,1,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/1,1/0/0
r086,0.9,0.0,0.03,False,181,38,24,62,1,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/1,1/0/0
r087,0.9,0.0,0.05,True,181,38,24,62,1,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/1,1/0/0
r088,0.9,0.0,0.05,False,181,38,24,62,1,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/1,1/0/0
r089,0.9,0.0,0.08,True,181,38,24,62,1,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/1,1/0/0
r090,0.9,0.0,0.08,False,181,38,24,62,1,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/1,1/0/0
r091,0.9,0.0,0.1,True,181,38,23,61,2,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/0,1/0/0
r092,0.9,0.0,0.1,False,181,38,23,61,2,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/0,1/0/0
r093,0.9,0.0,0.15,True,181,38,23,61,2,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/0,1/0/0
r094,0.9,0.0,0.15,False,181,38,23,61,2,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/0,1/0/0
r095,0.9,0.0,0.2,True,181,38,23,61,2,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/0,1/0/0
r096,0.9,0.0,0.2,False,181,38,23,61,2,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/0,1/0/0
r097,0.9,0.03,0.03,True,181,38,25,63,0,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/1,1/0/0
r098,0.9,0.03,0.03,False,181,38,25,63,0,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/1,1/0/0
r099,0.9,0.03,0.05,True,181,38,25,63,0,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/1,1/0/0
r100,0.9,0.03,0.05,False,181,38,25,63,0,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/1,1/0/0
r101,0.9,0.03,0.08,True,181,38,25,63,0,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/1,1/0/0
r102,0.9,0.03,0.08,False,181,38,25,63,0,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/1,1/0/0
r103,0.9,0.03,0.1,True,181,38,24,62,1,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/0,1/0/0
r104,0.9,0.03,0.1,False,181,38,24,62,1,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/0,1/0/0
r105,0.9,0.03,0.15,True,181,38,24,62,1,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/0,1/0/0
r106,0.9,0.03,0.15,False,181,38,24,62,1,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/0,1/0/0
r107,0.9,0.03,0.2,True,181,38,24,62,1,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/0,1/0/0
r108,0.9,0.03,0.2,False,181,38,24,62,1,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/0,1/0/0
r109,0.9,0.05,0.03,True,181,38,25,63,0,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/1,1/0/0
r110,0.9,0.05,0.03,False,181,38,25,63,0,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/1,1/0/0
